0,13
1,14
2,10
3,9
4,6
5,5
6,2
7,1
8,4
9,3
10,8
11,7
12,12
13,11
14,16
15,15
16,15
17,16
18,11
19,12
20,7
21,8
22,3
23,4
24,1
25,2
26,5
27,6
28,9
29,10
30,14
31,13
