LECROYWRHRO66Zi	56744	Histogram
Segments	1	SegmentSize	2000
Segment	TrigTime	TimeSinceSegment1
#1	13-Nov-2013 11:38:33	0                 
Time	Ampl
-1.781e-010	1
-1.78e-010	0
-1.779e-010	1
-1.778e-010	0
-1.777e-010	0
-1.776e-010	2
-1.775e-010	0
-1.774e-010	0
-1.773e-010	0
-1.772e-010	1
-1.771e-010	2
-1.77e-010	0
-1.769e-010	0
-1.768e-010	0
-1.767e-010	0
-1.766e-010	0
-1.765e-010	1
-1.764e-010	0
-1.763e-010	1
-1.762e-010	0
-1.761e-010	0
-1.76e-010	1
-1.759e-010	3
-1.758e-010	5
-1.757e-010	0
-1.756e-010	0
-1.755e-010	0
-1.754e-010	0
-1.753e-010	0
-1.752e-010	0
-1.751e-010	0
-1.75e-010	1
-1.749e-010	0
-1.748e-010	1
-1.747e-010	0
-1.746e-010	0
-1.745e-010	1
-1.744e-010	0
-1.743e-010	1
-1.742e-010	1
-1.741e-010	1
-1.74e-010	0
-1.739e-010	0
-1.738e-010	0
-1.737e-010	0
-1.736e-010	0
-1.735e-010	1
-1.734e-010	0
-1.733e-010	0
-1.732e-010	0
-1.731e-010	0
-1.73e-010	0
-1.729e-010	0
-1.728e-010	1
-1.727e-010	0
-1.726e-010	0
-1.725e-010	1
-1.724e-010	0
-1.723e-010	0
-1.722e-010	1
-1.721e-010	1
-1.72e-010	0
-1.719e-010	0
-1.718e-010	0
-1.717e-010	0
-1.716e-010	2
-1.715e-010	0
-1.714e-010	0
-1.713e-010	0
-1.712e-010	0
-1.711e-010	0
-1.71e-010	0
-1.709e-010	1
-1.708e-010	0
-1.707e-010	1
-1.706e-010	0
-1.705e-010	0
-1.704e-010	0
-1.703e-010	2
-1.702e-010	1
-1.701e-010	1
-1.7e-010	2
-1.699e-010	1
-1.698e-010	2
-1.697e-010	0
-1.696e-010	0
-1.695e-010	0
-1.694e-010	0
-1.693e-010	0
-1.692e-010	0
-1.691e-010	0
-1.69e-010	0
-1.689e-010	0
-1.688e-010	1
-1.687e-010	0
-1.686e-010	0
-1.685e-010	1
-1.684e-010	1
-1.683e-010	1
-1.682e-010	0
-1.681e-010	2
-1.68e-010	1
-1.679e-010	1
-1.678e-010	1
-1.677e-010	1
-1.676e-010	1
-1.675e-010	0
-1.674e-010	1
-1.673e-010	2
-1.672e-010	0
-1.671e-010	0
-1.67e-010	0
-1.669e-010	1
-1.668e-010	0
-1.667e-010	1
-1.666e-010	0
-1.665e-010	1
-1.664e-010	0
-1.663e-010	2
-1.662e-010	0
-1.661e-010	0
-1.66e-010	0
-1.659e-010	0
-1.658e-010	0
-1.657e-010	1
-1.656e-010	1
-1.655e-010	0
-1.654e-010	0
-1.653e-010	1
-1.652e-010	2
-1.651e-010	1
-1.65e-010	0
-1.649e-010	0
-1.648e-010	0
-1.647e-010	1
-1.646e-010	2
-1.645e-010	1
-1.644e-010	3
-1.643e-010	0
-1.642e-010	1
-1.641e-010	0
-1.64e-010	0
-1.639e-010	0
-1.638e-010	0
-1.637e-010	1
-1.636e-010	0
-1.635e-010	0
-1.634e-010	0
-1.633e-010	0
-1.632e-010	1
-1.631e-010	0
-1.63e-010	0
-1.629e-010	0
-1.628e-010	0
-1.627e-010	1
-1.626e-010	0
-1.625e-010	1
-1.624e-010	1
-1.623e-010	0
-1.622e-010	0
-1.621e-010	0
-1.62e-010	0
-1.619e-010	2
-1.618e-010	0
-1.617e-010	0
-1.616e-010	0
-1.615e-010	0
-1.614e-010	0
-1.613e-010	1
-1.612e-010	1
-1.611e-010	2
-1.61e-010	0
-1.609e-010	2
-1.608e-010	2
-1.607e-010	0
-1.606e-010	0
-1.605e-010	1
-1.604e-010	0
-1.603e-010	1
-1.602e-010	0
-1.601e-010	0
-1.6e-010	0
-1.599e-010	1
-1.598e-010	1
-1.597e-010	0
-1.596e-010	2
-1.595e-010	1
-1.594e-010	0
-1.593e-010	1
-1.592e-010	0
-1.591e-010	0
-1.59e-010	1
-1.589e-010	0
-1.588e-010	0
-1.587e-010	0
-1.586e-010	0
-1.585e-010	0
-1.584e-010	0
-1.583e-010	0
-1.582e-010	2
-1.581e-010	1
-1.58e-010	0
-1.579e-010	0
-1.578e-010	0
-1.577e-010	1
-1.576e-010	0
-1.575e-010	1
-1.574e-010	1
-1.573e-010	0
-1.572e-010	0
-1.571e-010	0
-1.57e-010	0
